Date (YYYY-MM-DD)	Day of the Week	Time of Day	Location	Location Rank	Incident Nature	Incident Rank
2024-04-03	4	11	911 W MAIN ST	5	Escort/Transport	48
2024-04-03	4	11	800 LEXINGTON ST	9	Assault	60
2024-04-03	4	11	2000 S I35 NB I	140	Check Area	15
2024-04-03	4	11	805 E ROBINSON ST	12	Runaway or Lost Child	32
2024-04-03	4	11	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	11	201 CHALMETTE DR	54	Disturbance/Domestic	4
2024-04-03	4	11	1780 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	11	12331 CHECKERBOARD CIR	140	Contact a Subject	3
2024-04-03	4	12	12TH AVE SE / ALAMEDA ST	140	MVA Non Injury	8
2024-04-03	4	12	1400 ED NOBLE PKWY	54	Sick Person	7
2024-04-03	4	12	1400 ED NOBLE PKWY	54	Sick Person	7
2024-04-03	4	12	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-03	4	12	1168 W LINDSEY ST	140	Traffic Stop	1
2024-04-03	4	12	2005 OAKHURST AVE	140	Contact a Subject	3
2024-04-03	4	12	2200 CLASSEN BLVD	33	Burglary	42
2024-04-03	4	12	5740 12TH AVE NW	54	Contact a Subject	3
2024-04-03	4	12	911 W MAIN ST	5	Contact a Subject	3
2024-04-03	4	12	1601 24TH AVE NW	54	Suspicious	13
2024-04-03	4	12	401 12TH AVE SE	21	Public Assist	19
2024-04-03	4	12	345 N PORTER AVE	140	Traffic Stop	1
2024-04-03	4	12	5000 YORK DR	140	Motorist Assist	19
2024-04-03	4	12	2200 W MAIN ST	54	Contact a Subject	3
2024-04-03	4	12	1124 MERRYMEN GRN	54	Overdose/Poisoning	22
2024-04-03	4	12	1124 MERRYMEN GRN	54	Overdose/Poisoning	22
2024-04-03	4	12	414 E BROOKS ST	33	Cardiac Respritory Arrest	42
2024-04-03	4	12	414 E BROOKS ST	33	Cardiac Respritory Arrest	42
2024-04-03	4	12	414 E BROOKS ST	33	Welfare Check	4
2024-04-03	4	12	1809 STUBBEMAN AVE	9	MVA Non Injury	8
2024-04-03	4	12	1221 24TH AVE NE	140	COP DDACTS	37
2024-04-03	4	12	3120 LANGLEY DR	140	Welfare Check	4
2024-04-03	4	12	E JOHNSON ST / N PORTER AVE	140	Welfare Check	4
2024-04-03	4	12	201B W GRAY ST	140	Contact a Subject	3
2024-04-03	4	13	2896 BROCE DR	140	Larceny	10
2024-04-03	4	13	236 E HIMES ST	140	Welfare Check	4
2024-04-03	4	13	707 E FRANK ST	140	Fraud	22
2024-04-03	4	13	TRIAD VILLAGE DR / ALAMEDA ST	140	Traffic Stop	1
2024-04-03	4	13	390 24TH AVE NE	140	Traffic Stop	1
2024-04-03	4	13	2900 W ROBINSON ST	140	Motorist Assist	19
2024-04-03	4	13	4600 E STATE HWY 9 HWY	140	Traffic Stop	1
2024-04-03	4	13	120 12TH AVE NE	140	Found Item	37
2024-04-03	4	13	2201 WESTPARK DR	140	Harassment / Threats Report	22
2024-04-03	4	13	2028 E ROBINSON ST	140	Traffic Stop	1
2024-04-03	4	13	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	13	911 W MAIN ST	5	Convulsion/Seizure	27
2024-04-03	4	13	911 W MAIN ST	5	Convulsion/Seizure	27
2024-04-03	4	13	911 W MAIN ST	5	Assist Fire	60
2024-04-03	4	13	1032 W TECUMSEH RD	140	Traffic Stop	1
2024-04-03	4	13	3400 W MAIN ST	54	Larceny	10
2024-04-03	4	13	2829 DEWEY AVE	140	Fraud	22
2024-04-03	4	13	2800 36TH AVE SE	140	Traffic Stop	1
2024-04-03	4	13	333 STAFFORD SQ	54	Open Door/Premises Check	32
2024-04-03	4	13	BNSF RR / W TECUMSEH RD	54	Check Area	15
2024-04-03	4	13	24TH AVE NE / E INDIAN HILLS RD	140	Animal Trapped	37
2024-04-03	4	13	35.223545;-97.4237383333333	140	Traffic Stop	1
2024-04-03	4	13	206 E HAYES ST	140	Disturbance/Domestic	4
2024-04-03	4	13	2657 CLASSEN BLVD	140	Fraud	22
2024-04-03	4	13	640 24TH AVE NE	140	Traffic Stop	1
2024-04-03	4	13	2000 ANN BRANDEN BLVD	7	Transfer/Interfacility	2
2024-04-03	4	13	5200 E STATE HWY 9 HWY	140	Traffic Stop	1
2024-04-03	4	13	429 E ROBINSON ST	140	Open Door/Premises Check	32
2024-04-03	4	13	805 E ROBINSON ST	12	Disturbance/Domestic	4
2024-04-03	4	13	2201 W BROOKS ST	33	Public Assist	19
2024-04-03	4	13	2290 W MAIN ST	140	Welfare Check	4
2024-04-03	4	13	1776 E ROBINSON ST	12	Chest Pain	32
2024-04-03	4	13	1776 E ROBINSON ST	12	Chest Pain	32
2024-04-03	4	14	SHORELINE DR / E STATE HWY 9 HWY	140	Traffic Stop	1
2024-04-03	4	14	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	14	805 WILLOW LN	140	Open Door/Premises Check	32
2024-04-03	4	14	1610 VILLAGE DR	140	Animal Complaint	48
2024-04-03	4	14	210 WESTSIDE DR	140	Burglary	42
2024-04-03	4	14	712 OLIVER ST	140	Contact a Subject	3
2024-04-03	4	14	602 N FINDLAY AVE	140	Parking Problem	25
2024-04-03	4	14	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	14	1514 OAKCREST AVE	140	Parking Problem	25
2024-04-03	4	14	575 S UNIVERSITY BLVD	140	Parking Problem	25
2024-04-03	4	14	E INDIAN HILLS RD / 12TH AVE NE	140	Mutual Aid	48
2024-04-03	4	14	2900 MOUNT WILLIAMS DR	33	MVA With Injuries	13
2024-04-03	4	14	2900 MOUNT WILLIAMS DR	33	MVA With Injuries	13
2024-04-03	4	14	2900 MOUNT WILLIAMS DR	33	MVA Non Injury	8
2024-04-03	4	14	600 72ND SE	140	Follow Up	16
2024-04-03	4	14	1806 24TH AVE NW	21	Convulsion/Seizure	27
2024-04-03	4	14	1806 24TH AVE NW	21	Convulsion/Seizure	27
2024-04-03	4	14	1311 NEBRASKA ST	54	Falls	10
2024-04-03	4	14	1311 NEBRASKA ST	54	Falls	10
2024-04-03	4	14	5742 HUETTNER CT	140	Larceny	10
2024-04-03	4	14	3730 W ROCK CREEK RD	140	Fraud	22
2024-04-03	4	14	2500 ASP AVE	140	Public Assist	19
2024-04-03	4	14	OAKVIEW DR / OAKCREST AVE	140	Animal at Large	19
2024-04-03	4	15	201 W GRAY ST	3	Follow Up	16
2024-04-03	4	15	363 N PICKARD AVE	140	Parking Problem	25
2024-04-03	4	15	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	15	201 W GRAY ST	3	Civil Standby	32
2024-04-03	4	15	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	15	2815 DEWEY AVE	54	Civil Standby	32
2024-04-03	4	15	401 12TH AVE SE	21	Public Assist	19
2024-04-03	4	15	828 ALAMEDA ST	140	Traffic Stop	1
2024-04-03	4	15	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-03	4	15	2900 W MAIN ST	140	Supplement Report	42
2024-04-03	4	15	2000 ANN BRANDEN BLVD	7	Escort/Transport	48
2024-04-03	4	15	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	15	1596 E IMHOFF RD	140	Traffic Stop	1
2024-04-03	4	15	1232 W BROOKS ST	140	Larceny	10
2024-04-03	4	15	922 ALAMEDA ST	140	Traffic Stop	1
2024-04-03	4	15	1037 N UNIVERSITY BLVD	54	Suspicious	13
2024-04-03	4	15	4400 W MAIN ST	140	Disturbance/Domestic	4
2024-04-03	4	16	1622 W ROBINSON ST	21	Shooting Stabbing Penetrating	60
2024-04-03	4	16	1622 W ROBINSON ST	21	Shooting Stabbing Penetrating	60
2024-04-03	4	16	1622 W ROBINSON ST	21	Shooting	72
2024-04-03	4	16	201 REED AVE	6	Trespassing	10
2024-04-03	4	16	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-03	4	16	2809 DALEWOOD PL	54	Breathing Problems	8
2024-04-03	4	16	2809 DALEWOOD PL	54	Breathing Problems	8
2024-04-03	4	16	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-03	4	16	4701 12TH AVE NW	140	Fire Alarm	48
2024-04-03	4	16	2501 PENDLETON DR	140	Stolen Vehicle	42
2024-04-03	4	16	1016 26TH AVE NW	54	Trespassing	10
2024-04-03	4	16	2505 W MAIN ST	12	Stolen Vehicle	42
2024-04-03	4	16	1303 BARBOUR ST	140	Welfare Check	4
2024-04-03	4	16	911 W MAIN ST	5	COP Relationships	17
2024-04-03	4	16	810 DAKOTA ST	140	Suspicious	13
2024-04-03	4	16	1008 WOODS AVE	140	Animal Complaint	48
2024-04-03	4	16	436 PARK DR	140	Contact a Subject	3
2024-04-03	4	16	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	16	6777 INTERSTATE DR	140	Alarm Holdup/Panic	27
2024-04-03	4	16	1929 TWISTED OAK DR	140	Harassment / Threats Report	22
2024-04-03	4	16	3400 W MAIN ST	54	Follow Up	16
2024-04-03	4	16	3525 N FLOOD AVE	140	Alarm	6
2024-04-03	4	17	435 1/2 CHAUTAUQUA AVE	140	Check Area	15
2024-04-03	4	17	911 W MAIN ST	5	Harassment / Threats Report	22
2024-04-03	4	17	1113 BILOXI DR	140	Disturbance/Domestic	4
2024-04-03	4	17	705 RIDGECREST CT	54	Larceny	10
2024-04-03	4	17	705 RIDGECREST CT	54	Larceny	10
2024-04-03	4	17	1803 ROLLING STONE DR	54	Unconscious/Fainting	17
2024-04-03	4	17	1803 ROLLING STONE DR	54	Unconscious/Fainting	17
2024-04-03	4	17	3006 36TH AVE NW	140	Traffic Stop	1
2024-04-03	4	17	6851 POST OAK RD	54	Hemorrhage/Lacerations	31
2024-04-03	4	17	6851 POST OAK RD	54	Hemorrhage/Lacerations	31
2024-04-03	4	17	320 E COMANCHE ST	140	Welfare Check	4
2024-04-03	4	17	4300 W MAIN ST	140	Traffic Stop	1
2024-04-03	4	17	E FRANKLIN RD / 120TH AVE NE	140	MVA Non Injury	8
2024-04-03	4	17	1000 BENTBROOK PL	140	Fire Gas Leak	42
2024-04-03	4	17	24TH AVE NW / W ROCK CREEK RD	140	Traffic Stop	1
2024-04-03	4	17	S BERRY RD / W STATE HWY 9 HWY	54	MVA Non Injury	8
2024-04-03	4	17	S BERRY RD / W STATE HWY 9 HWY	54	MVA Non Injury	8
2024-04-03	4	17	1023 E BROOKS ST	140	Disturbance/Domestic	4
2024-04-03	4	18	1006 FOUNTAIN GATE CIR	12	Welfare Check	4
2024-04-03	4	18	2325 GLEN OAKS DR	140	Harassment / Threats Report	22
2024-04-03	4	18	MORREN DR / 12TH AVE NE	140	MVA Non Injury	8
2024-04-03	4	18	N FLOOD AVE / W ROCK CREEK RD	54	MVA Non Injury	8
2024-04-03	4	18	1505 E ROBINSON ST	140	Harassment / Threats Report	22
2024-04-03	4	18	1502 SUNSET DR	140	Harassment / Threats Report	22
2024-04-03	4	18	4900 E STATE HWY 9 HWY	140	Motorist Assist	19
2024-04-03	4	18	819 RUSSELL CIR	140	Disturbance/Domestic	4
2024-04-03	4	18	2627 CLASSEN BLVD	140	MVA Non Injury	8
2024-04-03	4	18	3201 S BERRY RD	140	Alarm	6
2024-04-03	4	18	615 E ROBINSON ST	21	Unconscious/Fainting	17
2024-04-03	4	18	615 E ROBINSON ST	21	Unconscious/Fainting	17
2024-04-03	4	18	304 CHALMETTE DR	33	Assault EMS Needed	32
2024-04-03	4	18	304 CHALMETTE DR	33	Assault EMS Needed	32
2024-04-03	4	18	304 CHALMETTE DR	33	Disturbance/Domestic	4
2024-04-03	4	18	E ROBINSON ST / 12TH AVE NE	9	MVA With Injuries	13
2024-04-03	4	18	E ROBINSON ST / 12TH AVE NE	9	MVA With Injuries	13
2024-04-03	4	18	E ROBINSON ST / 12TH AVE NE	9	MVA With Injuries	13
2024-04-03	4	18	E ROBINSON ST / 12TH AVE NE	9	MVA With Injuries	13
2024-04-03	4	18	MCGEE DR / W STATE HWY 9 HWY	140	MVA Non Injury	8
2024-04-03	4	18	1915 TWISTED OAK DR	140	Runaway or Lost Child	32
2024-04-03	4	18	1800 BEAUMONT DR	12	Trespassing	10
2024-04-03	4	19	2100 NATCHEZ DR	54	Falls	10
2024-04-03	4	19	2100 NATCHEZ DR	54	Falls	10
2024-04-03	4	19	318 E HAYES ST	21	Hemorrhage/Lacerations	31
2024-04-03	4	19	318 E HAYES ST	21	Sick Person	7
2024-04-03	4	19	720 HIGHLAND PKWY	140	Welfare Check	4
2024-04-03	4	19	E RICH ST / N PORTER AVE	140	Traffic Stop	1
2024-04-03	4	19	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	19	2913 CARETTA CT	54	Fire Residential	60
2024-04-03	4	19	2913 CARETTA CT	54	Fire Residential	60
2024-04-03	4	19	1601 24TH AVE NW	54	Trespassing	10
2024-04-03	4	19	1509 SOUTHERN HEIGHTS AVE	140	Welfare Check	4
2024-04-03	4	19	517 GOLDEN OAKS DR	54	Unconscious/Fainting	17
2024-04-03	4	19	517 GOLDEN OAKS DR	54	Unconscious/Fainting	17
2024-04-03	4	19	1826 OAKHILL DR	140	Fire Gas Leak	42
2024-04-03	4	19	909 24TH AVE SW	54	Breathing Problems	8
2024-04-03	4	19	909 24TH AVE SW	54	Breathing Problems	8
2024-04-03	4	19	POST OAK RD / 60TH AVE SE	33	MVA With Injuries	13
2024-04-03	4	19	POST OAK RD / 60TH AVE SE	33	MVA With Injuries	13
2024-04-03	4	19	POST OAK RD / 60TH AVE SE	33	Welfare Check	4
2024-04-03	4	20	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-03	4	20	2716 CHEYENNE WAY	140	Contact a Subject	3
2024-04-03	4	20	ED NOBLE PKWY / W LINDSEY ST	140	Hit and Run	25
2024-04-03	4	20	1201 12TH AVE NE	54	Tobacco Violation	48
2024-04-03	4	20	800 LEXINGTON ST	9	Welfare Check	4
2024-04-03	4	20	201 W GRAY ST	3	Civil Standby	32
2024-04-03	4	20	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	20	3300 HEALTHPLEX PKWY	2	Transfer/Interfacility	2
2024-04-03	4	20	E BOYD ST / SUNRISE ST	140	Suspicious	13
2024-04-03	4	20	115 12TH AVE SE	140	Tobacco Violation	48
2024-04-03	4	20	24TH AVE SW / W STATE HWY 9 HWY	140	Traffic Stop	1
2024-04-03	4	20	3301 W MAIN ST	21	Larceny	10
2024-04-03	4	20	3406 PHEASANT RUN RD	21	Contact a Subject	3
2024-04-03	4	20	12TH AVE NE / E INDIAN HILLS RD	140	Welfare Check	4
2024-04-03	4	20	1208 NORTHERN HILLS RD	140	Welfare Check	4
2024-04-03	4	20	2000 ANN BRANDEN BLVD	7	Transfer/Interfacility	2
2024-04-03	4	20	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-03	4	20	2215 W LINDSEY ST	140	Alarm	6
2024-04-03	4	20	1001 E ROBINSON ST	140	Check Area	15
2024-04-03	4	20	3301 W MAIN ST	21	Larceny	10
2024-04-03	4	21	1882 BARKLEY ST	140	Welfare Check	4
2024-04-03	4	21	615 E ROBINSON ST	21	Convulsion/Seizure	27
2024-04-03	4	21	615 E ROBINSON ST	21	Convulsion/Seizure	27
2024-04-03	4	21	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	21	784 ASP AVE	140	Tobacco Violation	48
2024-04-03	4	21	N BERRY RD / IOWA ST	140	Suspicious	13
2024-04-03	4	21	1322 REGENT ST	33	Public Assist	19
2024-04-03	4	21	1322 REGENT ST	33	Animal Injured	48
2024-04-03	4	21	3251 CLASSEN BLVD	54	Check Area	15
2024-04-03	4	21	2550 MOUNT WILLIAMS DR	140	Suspicious	13
2024-04-03	4	21	1327 E LINDSEY ST	140	Check Area	15
2024-04-03	4	21	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-03	4	21	2551 CLASSEN BLVD	140	Check Area	15
2024-04-03	4	21	2600 TECHNOLOGY PL	140	Alarm	6
2024-04-03	4	21	N FLOOD AVE / DA VINCI ST	140	Traffic Stop	1
